0,0,14.920
5,4,3.910
4,19,4.570
0,29,14.940
1,37,5.960
3,47,3.230
0,53,13.740
4,68,4.040
0,72,15.250
1,86,5.750
0,87,13.490
2,99,5.070
0,127,10.270
5,138,2.130
6,142,1.550
4,143,4.380
0,146,9.350
2,158,4.270
0,164,9.610
2,180,4.340
0,186,9.930
0,212,11.050
0,222,12.220
2,226,3.500
4,230,3.600
0,244,17.250
1,244,2.580
6,248,4.020
1,250,4.190
2,257,4.270
0,259,14.700
3,261,4.620
4,262,4.340
4,287,4.880
6,300,2.140
2,303,3.520
5,313,3.160
0,327,10.360
4,328,6.100
6,335,0.660
0,338,10.420
3,345,2.970
2,350,5.040
5,356,3.300
4,374,6.040
0,381,10.500
4,386,4.950
1,387,3.280
5,399,2.090
1,411,2.440
4,412,6.080
6,413,2.420
0,420,9.480
4,433,6.230
5,440,3.240
6,442,2.580
0,457,10.170
1,457,4.340
4,460,6.120
4,469,4.880
0,480,9.150
6,484,4.390
5,490,2.120
0,498,7.600
4,500,2.660
6,507,4.100
0,511,9.280
1,511,1.400
3,527,3.150
0,533,8.510
2,535,0.970
5,535,3.580
6,545,4.300
4,550,5.120
5,555,4.370
3,560,3.180
0,561,8.530
2,566,1.450
4,567,5.080
0,580,8.680
6,583,5.440
3,584,3.730
4,585,6.150
0,589,8.470
6,600,4.180
5,615,4.720
6,617,4.270
1,620,3.470
0,624,8.640
4,626,7.110
2,641,2.380
0,642,11.750
3,643,4.640
4,650,3.580
1,651,4.560
5,652,4.730
0,654,8.700
2,663,2.430
4,668,6.510
6,668,1.370
0,677,10.210
1,679,4.580
4,690,4.580
3,694,4.680
0,702,9.670
2,707,2.970
3,707,3.670
5,714,5.570
0,717,9.690
1,727,5.180
0,736,11.700
4,736,4.540
2,749,5.830
1,752,7.200
0,761,12.450
3,763,8.080
4,763,3.420
0,768,11.140
2,772,4.870
6,778,3.070
1,784,5.790
3,788,7.090
0,800,12.190
2,807,7.280
3,817,8.290
4,817,6.030
4,823,7.350
0,828,11.650
6,832,4.770
2,837,7.600
1,840,6.510
4,840,4.470
3,846,6.000
1,847,5.840
2,850,7.040
4,850,6.330
0,859,12.120
6,859,2.030
1,865,3.120
2,873,7.480
2,879,7.230
0,883,11.560
5,896,4.570
3,904,5.430
4,904,4.790
0,909,14.220
6,913,1.550
0,916,13.580
2,929,3.970
3,934,5.660
5,934,5.810
4,935,4.960
0,951,12.800
4,958,3.060
5,962,3.700
3,963,5.970
3,970,5.560
4,988,4.040
6,994,1.950
1,1003,8.460
3,1003,3.730
0,1004,13.640
4,1006,4.570
5,1023,3.630
0,1026,13.490
6,1034,3.470
0,1040,13.720
3,1051,1.940
2,1058,3.460
5,1059,6.960
0,1061,16.550
6,1070,2.860
2,1071,3.060
0,1072,13.800
4,1079,3.500
5,1086,5.520
4,1088,3.430
0,1089,14.560
1,1093,11.230
6,1093,3.500
2,1107,2.980
6,1121,3.480
1,1122,11.250
0,1125,16.830
5,1131,7.540
0,1136,14.260
2,1137,3.060
1,1149,9.060
6,1155,4.640
4,1158,3.940
0,1165,14.940
2,1165,4.810
5,1165,5.870
1,1168,8.670
6,1185,3.480
1,1186,9.520
4,1186,3.610
2,1194,7.620
5,1202,5.110
1,1205,8.480
0,1208,14.760
6,1217,3.350
2,1220,8.760
3,1221,4.340
1,1224,9.910
5,1224,6.000
0,1242,12.980
1,1243,9.640
0,1248,12.890
5,1250,6.630
2,1251,7.740
6,1251,5.680
4,1252,2.470
5,1266,5.680
0,1268,13.600
3,1270,8.480
1,1272,8.550
4,1273,5.970
6,1276,5.510
0,1287,13.420
0,1296,13.880
5,1301,5.390
3,1304,5.990
6,1304,6.110
1,1312,8.480
3,1318,6.230
2,1325,7.470
0,1326,13.600
5,1326,5.390
6,1334,6.570
4,1336,4.560
0,1338,14.000
3,1344,5.070
0,1345,13.810
1,1349,7.320
2,1349,5.640
4,1353,6.180
5,1353,5.770
0,1364,14.690
6,1364,5.550
5,1375,5.840
3,1378,2.880
0,1386,13.720
4,1386,5.130
2,1391,4.760
6,1392,8.450
1,1397,5.220
4,1408,6.630
5,1413,6.120
3,1419,3.050
6,1419,5.340
0,1423,15.570
1,1424,4.580
4,1427,8.230
6,1437,3.350
0,1438,15.200
2,1438,4.810
5,1440,5.720
3,1443,4.040
6,1443,3.690
2,1447,5.230
4,1452,9.240
1,1463,4.060
5,1469,7.970
2,1471,5.460
0,1476,16.350
4,1482,3.040
5,1487,5.600
3,1490,3.870
0,1491,13.580
1,1491,3.810
6,1497,2.490
2,1503,6.930
1,1507,3.950
0,1508,17.210
5,1510,6.910
4,1511,4.580
3,1513,5.110
6,1518,1.600
0,1524,13.970
2,1527,7.160
3,1533,5.870
4,1541,4.580
5,1544,6.070
0,1558,13.350
1,1561,4.080
4,1565,3.740
3,1572,6.190
0,1575,12.770
3,1580,6.170
5,1585,6.760
2,1587,6.130
1,1589,4.040
5,1597,5.350
4,1598,4.560
6,1599,3.200
0,1600,12.280
2,1618,6.210
4,1625,4.690
3,1627,6.190
6,1629,4.580
1,1631,6.090
5,1631,6.600
0,1635,10.680
6,1644,5.830
5,1652,5.270
3,1657,6.910
1,1658,7.170
0,1660,10.660
2,1663,5.240
6,1663,5.210
5,1675,6.180
2,1677,6.610
4,1679,4.550
0,1682,10.170
3,1685,6.060
6,1691,6.960
0,1696,10.340
1,1700,7.380
3,1700,6.720
5,1700,8.890
4,1702,5.220
1,1709,7.550
6,1720,6.040
4,1725,3.280
5,1726,6.080
2,1727,5.930
0,1733,9.570
4,1733,6.480
2,1747,6.100
0,1755,9.630
3,1756,5.550
5,1765,6.350
1,1766,6.390
6,1775,5.650
0,1776,10.320
2,1776,5.730
3,1787,6.430
5,1787,6.140
0,1789,10.050
4,1789,4.990
1,1801,6.970
2,1813,6.770
4,1815,3.710
0,1819,10.140
3,1819,6.960
6,1819,6.100
6,1820,5.490
1,1821,6.380
3,1826,6.770
5,1827,5.130
1,1833,6.640
5,1841,6.040
3,1846,6.860
4,1848,3.800
0,1851,10.750
5,1860,5.320
6,1863,4.880
0,1867,10.190
2,1868,7.530
3,1880,5.800
2,1883,9.130
5,1885,6.960
6,1889,5.240
1,1896,7.640
0,1899,9.250
3,1900,1.930
5,1910,5.220
2,1913,7.350
4,1914,8.760
